#type;avg;std;min;p5;p10;p50;p67;p75;p80;p85;p90;p95;p99;p999;p9999;QPS
read;351.0;157.3;118.1;202.9;234.0;326.9;365.2;388.7;405.6;432.1;481.5;568.6;781.5;2079.9;2994.1;3988.6
read;447.1;245.8;109.4;197.7;244.6;398.2;501.9;560.8;598.7;633.6;679.4;757.6;950.8;4289.1;5081.9;8993.6
read;498.5;228.5;109.4;196.3;249.0;465.7;577.6;630.0;665.7;708.2;769.0;861.5;1062.3;2215.2;4072.5;13989.0
read;530.3;253.0;109.4;192.3;237.6;505.0;616.2;673.1;717.1;772.1;844.4;948.9;1177.3;1785.3;4126.5;18989.2
read;559.8;292.2;101.3;189.8;236.0;542.7;653.1;713.1;757.8;813.9;890.4;994.3;1230.3;2609.8;4397.4;23999.4
read;550.5;283.3;101.3;185.8;222.9;520.7;646.6;710.5;756.8;817.7;897.9;1014.2;1291.9;2195.7;5497.0;29032.6
read;520.2;295.3;101.3;177.7;205.2;475.7;605.1;675.7;725.8;786.3;867.5;993.4;1256.4;2759.3;7301.4;33977.0
read;524.3;284.1;101.3;178.3;207.7;486.8;618.5;684.3;729.9;785.5;860.9;985.0;1262.2;1959.8;5197.7;38989.8
read;531.1;296.6;101.3;180.8;211.7;493.9;624.3;691.5;737.8;791.6;863.3;988.0;1287.8;2317.4;7976.0;43984.4
read;516.2;261.6;101.3;182.3;212.4;476.7;604.5;673.0;720.8;776.3;850.2;974.4;1262.7;1833.9;4234.5;49000.8
read;527.4;269.3;101.3;186.0;221.3;495.8;618.5;684.3;729.8;782.8;853.8;969.5;1232.1;1731.3;3921.5;53982.2
read;549.5;273.9;101.3;196.8;236.5;518.5;640.0;701.7;744.9;800.2;873.3;998.9;1355.8;1910.7;3962.1;58905.2
read;902.7;355.8;101.3;415.4;572.6;850.9;919.9;964.9;1007.1;1110.9;1446.6;1664.1;1888.2;2406.1;7231.3;63648.0
read;1017.4;333.6;93.8;717.5;774.8;925.9;988.2;1024.3;1072.8;1180.3;1624.8;1793.5;2005.7;2459.6;7315.0;62717.9
read;1010.9;331.3;109.4;713.1;767.3;917.6;979.4;1015.2;1067.3;1187.4;1625.2;1779.8;1998.0;2455.1;5508.4;63207.0
read;1007.5;340.6;101.3;710.6;762.4;908.8;968.0;1007.4;1058.2;1239.3;1636.0;1784.7;1984.1;2402.0;7328.1;63457.1
